19,Natalie,Clark ,Executive Assistant,Privacy,natalieclark@herbalife.com,(555)555-5555
27,Hank,Williams,Manager,Corporate Governance & Securities,hankwilliams@herbalife.com,(555)555-5555
26,Larry ,Coleman,Senior Manager,Corporate Governance & Securities,larrycoleman@herbalife.com,(555)555-5555
11,Molly ,Oliver,Senior Vice President,Associate General Counsel,mollyoliver@herbalife.com,(555)555-555
17,Richard,Carpenter,Senior Vice President,Privacy,richardcarpenter@herbalife.com,(555)555-5555
12,Frank,Caldwell,Senior Manager,Advertising/Claims/IP,frankcaldwell@herbalife.com,(555)555-555
9,Fred,Moore,Senior Director,Distributor Support/Marketing Plan,fredmoore@herbalife.com,(555)555-555
24,Tania,Romero,Manager,Corporate Governance & Securities,taniaromero@herbalife.com,(555)555-5555
30,Jeffrey,Hawk,Executive Vice President,General Counsel,jeffreyhawk@herbalife.com,(555)555-5555
28,Tim,Glannon,Senior Advisor,Contract Administration,timglannon@herbalife.com,(555)555-5555
2,Hannah ,Loewe,Specialist,Advertising/Claims/IP,hannahloewe@herbalife.com,(555)555-555
1,Sarah,Smith,Specialist,Litigation/Employment/General Ops,sarahsmith@herbalife.com,(555)555-555
4,Jared,Crowe,Vice President,Distributor Support/Marketing Plan,jaredcrowe@herbalife.com,(555)555-555
15,Alexander,Ferguson,Legal Specialist,Distributor Support/Marketing Plan,alexanderferguson@herbalife.com,(555)555-5555
3,Mary,Howland,Vice President,Advertising/Claims/IP,maryhowland@herbalife.com,(555)555-555
23,Lucy,Mcgrath,Director,Corporate Governance & Securities,lucymcgrath@herbalife.com,(555)555-5555
29,Julia,Thomas,Manager,Contract Administration,juliathomas@herbalife.com,(555)555-5555
18,Maria,Jones,Senior Director,Privacy,mariajones@herbalife.com,(555)555-5555
21,Tony,Hoffman,Manager,Privacy,tonyhoffman@herbalife.com,(555)555-5555
31,Tiffany,Mueller,Senior Executive Assistant,Legal,tiffanymueller@herbalife.com,(555)555-5555
6,Bryan,Snow,Senior Director,Litigation/Employment/General Ops,bryansnow@herbalife.com,(555)555-555
20,Samantha,Johnson,Senior Manager,Privacy,samanthajohnson@herbalife.com,(555)555-5555
16,Drake,Lawson,Senior Manager,Regulatory/Special Assignment,drakelawson@herbalife.com,(555)555-5555
25,Martha ,Frazier,Manager,Corporate Governance & Securities,marthafrazier@herbalife.com,(555)555-5555
14,Layla,Porter,Administrative Assistant,Advertising/Claims/IP,laylaporter@herbalife.com,(555)555-5555
13,Khloe,Stuart,Specialist,Advertising/Claims/IP,khloestuart@herbalife.com,(555)555-555
8,Jim,Weiler,Manager,Advertising/Claims/IP,jimweiler@herbalife.com,(555)555-555
22,Marcy,Romero,Vice President,Contract Administration/Corporate Governance & Securities,marcyromero@herbalife.com,(555)555-5555
5,Lily,Fowler,Vice President,Litigation/Employment/General Ops,lilyfowler@herbalife.com,(555)555-555
10,Jessica,Singer,Vice President,Regulatory/Special Assignment,jessicasinger@herbalife.com,(555)555-555
7,Greg,Barry,Senior Director,Advertising/Claims/IP,gregbarry@herbalife.com,(555)555-555
